experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
trae-deepseek-v4pro-hard50-v1,attention,multi-kernel-pipelines,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,1052469,,17145,,1069614,,unavailable,581.5356615000019,595.1879391000002,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/attention/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-hard50-v1,attention,multi-kernel-pipelines,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,328044,,13418,,341462,,unavailable,621.5391532999929,633.029875399996,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/attention/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-hard50-v1,batchedGemm,linear-algebra,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,302545,,10061,,312606,,unavailable,303.57030010000017,314.54983079999874,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/batchedGemm/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-hard50-v1,batchedGemm,linear-algebra,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,312113,,15056,,327169,,unavailable,773.0687663999852,784.0961748999835,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/batchedGemm/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,wrong_output,False,299456,,10268,,309724,,unavailable,293.48159569999916,304.6663116000018,26,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbAdam8bitMoments/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbAdam8bitMoments,simple-kernels,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,wrong_output,False,389288,,16274,,405562,,unavailable,496.4265562000073,508.46935580001445,28,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbAdam8bitMoments/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,compile_error,False,313408,,9942,,323350,,unavailable,502.3228030999999,9265.3576766,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbInt8VectorQuant/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbInt8VectorQuant,reductions-scans,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,wrong_output,False,336860,,13140,,350000,,unavailable,595.3687154999934,608.6960152999964,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbInt8VectorQuant/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,238460,,24451,,262911,,unavailable,483.8764091999983,496.1103871999985,24,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbStableEmbeddingGrad/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-hard50-v1,bnbStableEmbeddingGrad,graph-irregular,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,369633,,11800,,381433,,unavailable,369.0723665999976,380.51065379999636,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-hard50-v1/bnbStableEmbeddingGrad/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
